orig_genename	presence	sachi	gloria	lambert	new_genename
SP7	absent	1	1	1	AC073611.1
WHSC1	absent	0	1	0	NSD2
ZNF724P	absent	0	1	0	ZNF724
CTD-2545M3.6	absent	0	1	0	AC020909.1
ZNF221	absent	1	1	1	AC006213.1
HGNC:9982	absent	0	1	0	RFX1
ZUFSP	absent	0	0	1	ZUP1
ZNF735P	absent	0	1	0	ZNF735
ZCCHC16	absent	0	1	0	RTL4
PHF19 	absent	0	0	1	PHF19
ZNF812	absent	0	1	0	ZNF812P
ZNF788	absent	0	0	1	ZNF788P
NFKBID	absent	0	1	0	AD000864.1
PRKRIR	absent	0	1	0	THAP12
ZZZ3	absent	0	1	1	AC118549.1
ZNF223	absent	1	1	1	AC092072.1
CRAMP1L	absent	0	1	0	CRAMP1
AC023509.3	absent	0	0	1	ATF7
ZCCHC5	absent	0	1	0	RTL3
ZSCAN5DP	absent	0	1	0	ZSCAN5DP
ZC3H4	absent	0	1	0	AC008755.1
ZNF737	absent	1	1	1	AC008554.1
ZNF645	absent	0	0	1	CBLL2
ZNF727P	absent	0	1	0	ZNF727
AC008770.3	absent	0	0	1	AC008770.2
POU6F1	absent	1	1	1	AC139768.1
T	absent	1	1	1	TBXT
ZBTB42	absent	0	1	1	AL590327.1
HIF3A	present	1	1	1	HIF3A
ZNF709	present	1	1	1	ZNF709
ZNF708	present	1	1	1	ZNF708
ZNF879	present	0	1	1	ZNF879
ZNF878	present	0	1	1	ZNF878
ZNF703	present	0	0	1	ZNF703
NR0B2	present	0	1	0	NR0B2
ZNF701	present	1	1	1	ZNF701
ZNF700	present	1	1	1	ZNF700
ZNF707	present	1	1	1	ZNF707
ZNF706	present	0	0	1	ZNF706
ZNF704	present	0	0	1	ZNF704
DRAP1	present	0	1	1	DRAP1
IRX5	present	1	1	1	IRX5
IRX4	present	1	1	1	IRX4
IRX6	present	1	1	1	IRX6
IRX1	present	1	1	1	IRX1
IRX3	present	1	1	1	IRX3
IRX2	present	1	1	1	IRX2
FOXQ1	present	1	1	1	FOXQ1
SP9	present	1	1	1	SP9
ZNF45	present	1	1	1	ZNF45
ZNF44	present	1	1	1	ZNF44
ZNF43	present	1	1	1	ZNF43
GSC2	present	1	1	1	GSC2
ZNF41	present	1	1	1	ZNF41
SP1	present	1	1	1	SP1
SP2	present	1	1	1	SP2
SP3	present	1	1	1	SP3
SP4	present	1	1	1	SP4
SP5	present	1	1	1	SP5
SP6	present	1	1	1	SP6
L3MBTL3	present	0	0	1	L3MBTL3
ZNF677	present	1	1	1	ZNF677
ZNF676	present	1	1	1	ZNF676
ZNF675	present	1	1	1	ZNF675
ZNF674	present	0	1	1	ZNF674
ZNF672	present	1	1	1	ZNF672
ZNF671	present	1	1	1	ZNF671
ZNF670	present	0	1	1	ZNF670
MAZ	present	1	1	1	MAZ
ZNF679	present	1	1	1	ZNF679
ZNF678	present	1	1	1	ZNF678
MYRFL	present	0	0	1	MYRFL
MAF	present	1	1	1	MAF
ZNF451	present	1	1	1	ZNF451
ZNF454	present	1	1	1	ZNF454
BACH2	present	1	1	1	BACH2
BACH1	present	1	1	1	BACH1
FBXL19	present	0	0	1	FBXL19
KCNIP3	present	0	0	1	KCNIP3
LIN28B	present	0	0	1	LIN28B
LIN28A	present	0	0	1	LIN28A
ZNF408	present	1	1	1	ZNF408
ZEB1	present	1	1	1	ZEB1
ZEB2	present	1	1	1	ZEB2
HLX	present	1	1	1	HLX
HLF	present	1	1	1	HLF
ZNF296	present	1	1	1	ZNF296
FOXC2	present	1	1	1	FOXC2
FOXC1	present	1	1	1	FOXC1
ZNF292	present	1	1	1	ZNF292
SMAD9	present	1	1	1	SMAD9
TRERF1	present	1	1	1	TRERF1
SMAD4	present	1	1	1	SMAD4
SMAD5	present	1	1	1	SMAD5
SMAD6	present	1	1	0	SMAD6
SMAD7	present	1	1	0	SMAD7
SMAD1	present	1	1	1	SMAD1
SMAD2	present	1	1	0	SMAD2
SMAD3	present	1	1	1	SMAD3
FOXM1	present	1	1	1	FOXM1
ELMSAN1	present	1	1	0	ELMSAN1
BARX2	present	1	1	1	BARX2
KDM2A	present	0	1	1	KDM2A
BARX1	present	1	1	1	BARX1
OLIG2	present	1	1	1	OLIG2
OLIG3	present	1	1	1	OLIG3
OLIG1	present	1	1	1	OLIG1
KDM2B	present	0	0	1	KDM2B
RLF	present	1	1	1	RLF
CXXC1	present	0	1	1	CXXC1
CXXC5	present	0	0	1	CXXC5
CXXC4	present	0	0	1	CXXC4
WTIP	present	0	1	0	WTIP
SP8	present	1	1	1	SP8
CPEB1	present	0	0	1	CPEB1
FIZ1	present	1	1	1	FIZ1
ZNF780A	present	1	1	1	ZNF780A
ZNF780B	present	1	1	1	ZNF780B
PIN1	present	0	0	1	PIN1
JRKL	present	0	0	1	JRKL
NFX1	present	1	1	1	NFX1
EEA1	present	0	0	1	EEA1
UBTF	present	1	1	0	UBTF
POU5F1B	present	1	1	1	POU5F1B
XPA	present	0	0	1	XPA
PHOX2A	present	1	1	1	PHOX2A
PHOX2B	present	1	1	1	PHOX2B
THAP1	present	0	1	1	THAP1
THAP2	present	0	1	1	THAP2
THAP3	present	0	1	1	THAP3
THAP4	present	0	1	1	THAP4
THAP5	present	0	1	1	THAP5
THAP6	present	0	1	1	THAP6
THAP7	present	0	1	1	THAP7
THAP8	present	0	1	1	THAP8
THAP9	present	0	1	1	THAP9
DMRTC1B	present	0	1	0	DMRTC1B
AHCTF1	present	0	0	1	AHCTF1
SIX4	present	1	1	1	SIX4
SIX5	present	1	1	1	SIX5
SIX6	present	1	1	1	SIX6
ZSCAN16	present	1	1	1	ZSCAN16
SIX1	present	1	1	1	SIX1
SIX2	present	1	1	1	SIX2
SIX3	present	1	1	1	SIX3
ZNF587B	present	0	0	1	ZNF587B
ZFP69	present	1	1	1	ZFP69
ONECUT2	present	1	1	1	ONECUT2
RELB	present	1	1	1	RELB
RELA	present	1	1	1	RELA
ZFP64	present	1	1	1	ZFP64
ZFP62	present	1	1	1	ZFP62
HMG20B	present	0	1	1	HMG20B
ESX1	present	1	1	1	ESX1
SHOX2	present	1	1	1	SHOX2
DMRTC2	present	1	1	1	DMRTC2
ZFP82	present	1	1	1	ZFP82
TIGD1	present	0	0	1	TIGD1
RFX8	present	1	1	1	RFX8
RFX4	present	1	1	1	RFX4
ZNF841	present	1	1	1	ZNF841
RFX6	present	1	1	1	RFX6
RFX7	present	1	1	1	RFX7
ZNF844	present	0	1	1	ZNF844
RFX1	present	1	1	1	RFX1
RFX2	present	1	1	1	RFX2
RFX3	present	1	1	1	RFX3
ELK3	present	1	1	1	ELK3
ELK1	present	1	1	1	ELK1
ELK4	present	1	1	1	ELK4
MAX	present	1	1	1	MAX
DBP	present	1	1	1	DBP
ETV3L	present	0	1	1	ETV3L
FOXP2	present	1	1	1	FOXP2
FOXP3	present	1	1	1	FOXP3
FOXP1	present	1	1	1	FOXP1
BCL11B	present	1	1	1	BCL11B
ADNP	present	1	1	1	ADNP
FOXP4	present	1	1	1	FOXP4
ZNF57	present	1	1	1	ZNF57
TBR1	present	1	1	1	TBR1
ZNF592	present	1	1	1	ZNF592
ZNF593	present	0	1	0	ZNF593
ZNF596	present	1	1	1	ZNF596
ZNF597	present	1	1	1	ZNF597
ZNF594	present	1	1	1	ZNF594
ZNF595	present	0	1	1	ZNF595
ZNF598	present	0	0	1	ZNF598
ZNF599	present	1	1	1	ZNF599
MNX1	present	1	1	1	MNX1
MYCN	present	1	1	1	MYCN
ZNF600	present	1	1	1	ZNF600
MYCL	present	1	1	1	MYCL
ZNF606	present	1	1	1	ZNF606
ZNF607	present	1	1	1	ZNF607
ZNF605	present	1	1	1	ZNF605
ZNF608	present	0	0	1	ZNF608
ZNF609	present	0	0	1	ZNF609
CAMTA2	present	0	1	1	CAMTA2
VEZF1	present	1	1	1	VEZF1
CAMTA1	present	0	1	1	CAMTA1
TCF4	present	1	1	1	TCF4
TCF7	present	1	1	1	TCF7
TCF3	present	1	1	1	TCF3
ARID2	present	1	1	1	ARID2
ATMIN	present	0	1	1	ATMIN
SCMH1	present	0	0	1	SCMH1
MEF2C	present	1	1	1	MEF2C
MEF2B	present	1	1	1	MEF2B
MEF2A	present	1	1	1	MEF2A
ZNF770	present	1	1	1	ZNF770
MEF2D	present	1	1	1	MEF2D
ZNF117	present	1	1	1	ZNF117
ZNF114	present	1	1	1	ZNF114
ZNF112	present	1	1	1	ZNF112
LCORL	present	0	1	1	LCORL
ZNF337	present	1	1	1	ZNF337
ZNF334	present	1	1	1	ZNF334
ZNF335	present	1	1	1	ZNF335
ZNF333	present	1	1	1	ZNF333
ZNF331	present	1	1	1	ZNF331
ZNF91	present	1	1	1	ZNF91
MECOM	present	1	1	1	MECOM
THYN1	present	0	0	1	THYN1
MYT1L	present	1	1	1	MYT1L
FOXB1	present	1	1	1	FOXB1
FOXB2	present	1	1	1	FOXB2
TET1	present	0	1	1	TET1
ZNF48	present	1	1	1	ZNF48
TET2	present	0	0	1	TET2
FOXL2	present	1	1	1	FOXL2
FOXL1	present	1	1	1	FOXL1
ZNF33B	present	1	1	1	ZNF33B
ZNF33A	present	1	1	1	ZNF33A
NFYC	present	1	1	1	NFYC
NFYB	present	1	1	1	NFYB
NFYA	present	1	1	1	NFYA
ZMAT4	present	0	0	1	ZMAT4
MYBL1	present	1	1	1	MYBL1
PITX3	present	1	1	1	PITX3
NR1D2	present	1	1	1	NR1D2
MYBL2	present	1	1	1	MYBL2
SMARCA5	present	0	1	0	SMARCA5
ZNF7	present	1	1	1	ZNF7
ZNF2	present	0	1	1	ZNF2
ZNF3	present	1	1	1	ZNF3
CTCFL	present	1	1	1	CTCFL
ZNF8	present	0	1	1	ZNF8
ZNF559-ZNF177	present	0	1	0	ZNF559-ZNF177
CDC5L	present	1	1	1	CDC5L
SKIL	present	0	0	1	SKIL
PBX4	present	1	1	1	PBX4
PBX2	present	1	1	1	PBX2
PBX3	present	1	1	1	PBX3
PBX1	present	1	1	1	PBX1
AIRE	present	1	1	1	AIRE
ARHGAP35	present	0	0	1	ARHGAP35
ZSCAN32	present	1	1	1	ZSCAN32
ZSCAN31	present	0	1	1	ZSCAN31
ZSCAN30	present	1	1	1	ZSCAN30
ZFY	present	1	1	1	ZFY
ZFX	present	1	1	1	ZFX
ZNF474	present	0	0	1	ZNF474
TOPORS	present	0	0	1	TOPORS
CARF	present	0	0	1	CARF
DNMT1	present	0	1	1	DNMT1
THRB	present	1	1	1	THRB
THRA	present	1	1	1	THRA
