tcga_id_ctrl	tcga_id_tumor
TCGA-BH-A0DK-11A-13R-A089-07	TCGA-BH-A0DK-01A-21R-A056-07
TCGA-BH-A18U-11A-23R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07
TCGA-BH-A204-11A-53R-A157-07	TCGA-BH-A204-01A-11R-A157-07
TCGA-E2-A153-11A-31R-A12D-07	TCGA-E2-A153-01A-12R-A12D-07
TCGA-E9-A1ND-11A-43R-A144-07	TCGA-E9-A1ND-01A-11R-A144-07
TCGA-E9-A1NG-11A-52R-A14M-07	TCGA-E9-A1NG-01A-21R-A14M-07
TCGA-BH-A0B8-11A-41R-A089-07	TCGA-BH-A0B8-01A-21R-A056-07
TCGA-E9-A1N9-11A-71R-A14D-07	TCGA-E9-A1N9-01A-11R-A14D-07
TCGA-BH-A0BW-11A-12R-A115-07	TCGA-BH-A0BW-01A-11R-A115-07
TCGA-BH-A1EU-11A-23R-A137-07	TCGA-BH-A1EU-01A-11R-A137-07
TCGA-BH-A1FG-11B-12R-A13Q-07	TCGA-BH-A1FG-01A-11R-A13Q-07
TCGA-BH-A0AZ-11A-22R-A12P-07	TCGA-BH-A0AZ-01A-21R-A12P-07
TCGA-BH-A18P-11A-43R-A12D-07	TCGA-BH-A18P-01A-11R-A12D-07
TCGA-BH-A0B7-11A-34R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07
TCGA-BH-A18S-11A-43R-A12D-07	TCGA-BH-A18S-01A-11R-A12D-07
TCGA-E9-A1RC-11A-33R-A157-07	TCGA-E9-A1RC-01A-11R-A157-07
TCGA-BH-A18K-11A-13R-A12D-07	TCGA-BH-A18K-01A-11R-A12D-07
TCGA-A7-A0CE-11A-21R-A089-07	TCGA-A7-A0CE-01A-11R-A00Z-07
TCGA-BH-A0H7-11A-13R-A089-07	TCGA-BH-A0H7-01A-13R-A056-07
TCGA-BH-A1EW-11B-33R-A137-07	TCGA-BH-A1EW-01A-11R-A137-07
TCGA-A7-A0D9-11A-53R-A089-07	TCGA-A7-A0D9-01A-31R-A056-07
TCGA-BH-A0BT-11A-21R-A12P-07	TCGA-BH-A0BT-01A-11R-A12P-07
TCGA-E2-A1LH-11A-22R-A14D-07	TCGA-E2-A1LH-01A-11R-A14D-07
TCGA-E9-A1R7-11A-42R-A14M-07	TCGA-E9-A1R7-01A-11R-A14M-07
TCGA-BH-A0DT-11A-12R-A12D-07	TCGA-BH-A0DT-01A-21R-A12D-07
TCGA-E2-A1L7-11A-33R-A144-07	TCGA-E2-A1L7-01A-11R-A144-07
TCGA-BH-A0AY-11A-23R-A089-07	TCGA-BH-A0AY-01A-21R-A00Z-07
TCGA-BH-A1FB-11A-33R-A13Q-07	TCGA-BH-A1FB-01A-11R-A13Q-07
TCGA-BH-A0E1-11A-13R-A089-07	TCGA-BH-A0E1-01A-11R-A056-07
TCGA-E9-A1NF-11A-73R-A14D-07	TCGA-E9-A1NF-01A-11R-A14D-07
TCGA-BH-A0B3-11B-21R-A089-07	TCGA-BH-A0B3-01A-11R-A056-07
TCGA-A7-A13G-11A-51R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07
TCGA-E2-A15K-11A-13R-A12P-07	TCGA-E2-A15K-01A-11R-A12P-07
TCGA-A7-A0DB-11A-33R-A089-07	TCGA-A7-A0DB-01A-11R-A00Z-07
TCGA-BH-A1FJ-11B-42R-A13Q-07	TCGA-BH-A1FJ-01A-11R-A13Q-07
TCGA-E2-A15I-11A-32R-A137-07	TCGA-E2-A15I-01A-21R-A137-07
TCGA-E2-A1IG-11A-22R-A144-07	TCGA-E2-A1IG-01A-11R-A144-07
TCGA-GI-A2C8-11A-22R-A16F-07	TCGA-GI-A2C8-01A-11R-A16F-07
