clone_id	cloned_reference_or_alternative	condensates_HEK293T_r1	localization_HEK293T_r1	condensates_HEK293T_r2	localization_HEK293T_r2	condensates_U2OS_r1	localization_U2OS_r1	condensates_U2OS_r2	localization_U2OS_r2
ATF2-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
ATF2-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
ATF2-3	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
ATF2-4	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	nuclear condensates	cytoplasm	nuclear condensates	cytoplasm
ATF2-5	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
ATF2-6	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
CREB1-2	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
CREB1-1	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
CREB5-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
CREB5-2	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
CREBZF-1	Reference	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
CREBZF-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
CTCF-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
CTCF-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
DDIT3-2	Reference	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
DDIT3-1	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
DLX1-1	Reference	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
DLX1-2	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	cytoplasm	no condensates	cytoplasm
DLX4-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
DLX4-2	Alternative	no condensates	nucleus	no condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
DLX4-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
E2F6-1	Reference	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
E2F6-2	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
E4F1-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
E4F1-2	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
EBF1-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
EBF1-2	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
EBF1-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FLI1-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FLI1-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
FLI1-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
FLI1-4	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FOS-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
FOS-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
FOS-3	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
FOSB-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FOSB-2	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
FOSB-3	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
FOXJ2-1	Reference	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
FOXJ2-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FOXN4-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FOXN4-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
FOXP2-2	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
FOXP2-1	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
FOXP2-10	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
FOXP2-4	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
FOXP2-6	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
FOXP2-7	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
GLI1-1	Reference	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
GLI1-2	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
GLI1-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
GRHL3-3	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
GRHL3-1	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
GRHL3-2	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
GRHL3-4	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
GRHL3-6	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
GRHL3-7	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
HEY1-2	Reference	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
HEY1-1	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
HMBOX1-2	Reference	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
HMBOX1-1	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
HMBOX1-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
HMBOX1-4	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
HNF4A-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
HNF4A-2	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
HNF4A-3	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
HNF4A-4	Alternative	no condensates	nucleus	no condensates	nucleus	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
HOXA1-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
HOXA1-2	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
KLF7-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
