dbd	pfam	clan
AP-2	PF03299	
ARID/BRIGHT	PF01388	CL0123
AT hook	PF02178	
BED ZF	PF02892	CL0361
Brinker	PF09607	CL0123
C2H2 ZF	PF00096	CL0361
CBFD_NFYB_HMF	PF00808	CL0012
CENP-B_N	PF04218	CL0123
CENPB	PF03221	CL0123
CG-1	PF03859	
CP2	PF04516	
CSD	PF00313	CL0021
CUT	PF02376	CL0123
CxxC ZF	PF02008	
DM	PF00751	
E2F_TDP	PF02319	CL0123
EBF1	PF16422	
Ets	PF00178	CL0123
Forkhead	PF00250	CL0123
GATA	PF00320	CL0167
GCM	PF03615	CL0274
GTF2I-like	PF02946	
HMG_box	PF00505	CL0114
HSF	PF00447	CL0123
Homeodomain	PF00046	CL0123
IPT/TIG	PF01833	CL0159
IRF	PF00605	CL0123
MADF	PF10545	CL0123
MADS box/SRF-TF	PF00319	
MBD	PF01429	CL0081
MH1	PF03165	CL0263
Myb/SANT	PF00249	CL0123
NFX	PF01422	
NRF	PF10491	
Ndt80/PhoG	PF05224	CL0073
PAX	PF00292	CL0123
POU	PF00157	CL0123
Pipsqueak	PF05225	CL0123
Prospero	PF05044	CL0123
RFX	PF02257	CL0123
Rel	PF00554	CL0073
Runt	PF00853	CL0073
SAND	PF01342	
SBP	PF03110	
STAT	PF02864	CL0073
T-box	PF00907	CL0073
TBP	PF00352	CL0407
TCR/CxC	PF03638	
TEA	PF01285	CL0123
THAP finger	PF05485	
WT1	PF02165	
bHLH	PF00010	
bZIP	PF00170	CL0018
bZIP	PF07716	CL0018
mTERF	PF02536	
p53	PF00870	CL0073
zf-C2HC	PF01530	
zf-C4	PF00105	CL0167
BTD	PF09270	CL0066
Homeobox_KN	PF05920	CL0123
Myb_DNA-bind_4	PF13837	CL0123
CBFB_NFYA	PF02045	
Core histone H2A/H2B/H3/H4	PF00125	CL0012
Zinc finger C-x8-C-x5-C-x3-H type (and similar)	PF00642	CL0537
AP2 domain	PF00847	CL0081
Transcription initiation factor IID, 18kD subunit	PF02269	CL0012
Transcription initiation factor IID, 31kD subunit	PF02291	CL0012
Replication initiation factor	PF02486	CL0407
S-adenosylmethionine decarboxylase 	PF02675	CL0407
DNA binding domain of tn916 integrase	PF02920	CL0081
