jound_id_alt	alt_iso	joung_id_ref	ref_iso	msigdb_term	gsea_nes	gsea_qval
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	G2-M Checkpoint	1.707113497343156	0.009244314013206164
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Myc Targets V1	1.6361618164572087	0.02259721203228173
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Protein Secretion	1.5689685071851185	0.03766202005380288
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	mTORC1 Signaling	1.5332371088708412	0.048532648569332364
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Wnt-beta Catenin Signaling	1.4616431103546523	0.08504768892149671
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Oxidative Phosphorylation	1.455641323099444	0.07549523110785034
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	IL-6/JAK/STAT3 Signaling	-1.4545183569595281	0.08693743139407245
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Adipogenesis	1.426973297014467	0.08745414526779163
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Mitotic Spindle	1.387288640133088	0.12531181217901688
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Hypoxia	1.373715170349705	0.12862150485041168
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Reactive Oxygen Species Pathway	1.3730510787429122	0.1168892149669846
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	Notch Signaling	1.3636562714296	0.11952244380710998
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	E2F Targets	1.3398412144669383	0.13875030569821475
TFORF0374-NFYA	NFYA-3	TFORF0373-NFYA	NFYA-1	PI3K/AKT/mTOR  Signaling	1.2954775391060527	0.19626389751114623
TFORF0859-ZIC3	ZIC3-3	TFORF3385-ZIC3	ZIC3-2	PI3K/AKT/mTOR  Signaling	1.7244286081827573	0.03271825943266318
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	UV Response Dn	1.742653785934027	0.0051872541754545975
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	G2-M Checkpoint	-1.646934249298703	0.057932144293952
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	Androgen Response	-1.473274553974737	0.14563497385007376
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	E2F Targets	-1.4005718928004232	0.17808770282955613
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	Protein Secretion	-1.3716080399078752	0.16132492959635242
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	Oxidative Phosphorylation	-1.2698731355896338	0.24943006571007106
TFORF3299-MEIS2	MEIS2-2	TFORF1935-MEIS2	MEIS2-1	Fatty Acid Metabolism	-1.254408625324519	0.24161382401961723
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	G2-M Checkpoint	-1.8046099121932504	0.005142638729629243
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	E2F Targets	-1.6543173127240596	0.02764168317175718
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Myc Targets V1	-1.6323725429599012	0.0235704275108007
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Apical Surface	-1.5716887597538196	0.03567705618680287
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Androgen Response	-1.5598348162429307	0.03239862399666423
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	TNF-alpha Signaling via NF-kB	-1.528294184910679	0.04049827999583029
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Apical Junction	-1.4473955683301396	0.07493559291745469
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	TGF-beta Signaling	-1.4306456223373984	0.07569321380173043
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	p53 Pathway	-1.35515191814396	0.14170826721645025
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Pperoxisome	-1.3468734333879404	0.14052260328711907
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Angiogenesis	-1.2714836264883946	0.2463791464104192
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	Oxidative Phosphorylation	-1.266217346343712	0.23688279648354701
TFORF3300-MEIS2	MEIS2-3	TFORF1935-MEIS2	MEIS2-1	DNA Repair	-1.2623400999759398	0.22548492891451297
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Protein Secretion	1.7133123979349265	0.025206209334494595
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	E2F Targets	1.6084676236507278	0.04673651314104206
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Mitotic Spindle	1.6065983626837066	0.03325819287190259
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Unfolded Protein Response	1.5242143093406435	0.06432834673907474
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	G2-M Checkpoint	1.5210378498883046	0.05461345355807162
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Hedgehog Signaling	1.5068405898434847	0.05356319483580101
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	DNA Repair	1.4922893927887952	0.05446341659774724
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	mTORC1 Signaling	1.4283551969029415	0.10016842563655926
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Apical Surface	-1.4274635396052986	0.17898193760262726
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Androgen Response	1.4122933962762816	0.10210848688742025
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Wnt-beta Catenin Signaling	1.3897192611779154	0.11479327834417746
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	UV Response Dn	1.3732660073749354	0.12268931437433922
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Myc Targets V1	1.346784537671952	0.14537331147429003
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Notch Signaling	1.3222284634368175	0.16876849775563849
TFORF0496-EGR2	EGR2-2	TFORF0495-EGR2	EGR2-1	Myc Targets V2	1.2872038510811528	0.2195790914347193
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Pperoxisome	-1.6010388977709213	0.09062614426949835
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	E2F Targets	-1.590784143072893	0.05149212742585133
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Angiogenesis	1.5686780824462185	0.020605990248432782
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	TGF-beta Signaling	-1.5338437337054427	0.07002929329915782
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Mitotic Spindle	-1.5124326355086164	0.06728304650311241
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	G2-M Checkpoint	-1.501668434581501	0.06151592823141707
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	UV Response Dn	-1.4957521718800804	0.056298059318930796
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Wnt-beta Catenin Signaling	-1.4345222341052553	0.09553015640529372
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Protein Secretion	-1.4287961587990499	0.09045450384474552
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Notch Signaling	-1.3986648853913033	0.10801904064445257
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Cholesterol Homeostasis	-1.389824430614979	0.10655437568656172
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Myc Targets V1	-1.3803659138364601	0.10747811324523153
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	mTORC1 Signaling	-1.3489655014790196	0.13422281215671916
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Fatty Acid Metabolism	-1.343815940575349	0.13171422133340846
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	UV Response Up	-1.3420133988570497	0.12377726630747501
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Pancreas Beta Cells	1.3150849733359626	0.11115625725563037
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Reactive Oxygen Species Pathway	-1.2844975875863025	0.19397656536067376
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	PI3K/AKT/mTOR  Signaling	-1.2753543565020447	0.1949835225192237
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	Unfolded Protein Response	-1.2562437179145003	0.21808430439184096
TFORF3244-ZNF483	ZNF483-2	TFORF1222-ZNF483	ZNF483-1	IL-6/JAK/STAT3 Signaling	1.1959050240735796	0.1924193173902949
TFORF0623-DDIT3	DDIT3-1	TFORF3119-DDIT3	DDIT3-2	Notch Signaling	1.7530393508609916	0.016607735990571092
TFORF0623-DDIT3	DDIT3-1	TFORF3119-DDIT3	DDIT3-2	Apical Surface	1.4480508541496713	0.2142397942783671
TFORF1957-ESR2	ESR2-1	TFORF1955-ESR2	ESR2-2	Myc Targets V1	1.8022683718246415	0.005217164471109951
TFORF1957-ESR2	ESR2-1	TFORF1955-ESR2	ESR2-2	E2F Targets	1.710171561876513	0.011477761836441893
TFORF1957-ESR2	ESR2-1	TFORF1955-ESR2	ESR2-2	Cholesterol Homeostasis	1.6836595557689817	0.010434328942219904
TFORF1957-ESR2	ESR2-1	TFORF1955-ESR2	ESR2-2	G2-M Checkpoint	1.634602881515981	0.014347202295552367
TFORF1957-ESR2	ESR2-1	TFORF1955-ESR2	ESR2-2	Androgen Response	1.4280452986943302	0.13397678361810356
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	TGF-beta Signaling	-1.9444449189547464	0.0
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Protein Secretion	-1.5447646443082304	0.06585136406396991
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	mTORC1 Signaling	-1.5322357109502618	0.05341277307410892
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Myc Targets V1	-1.49836975018734	0.06338193791157104
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Androgen Response	-1.4931321577696919	0.055315145813734715
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Mitotic Spindle	-1.4928772593445592	0.04609595484477893
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	UV Response Dn	-1.4818896117082427	0.046252743806836
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Pperoxisome	-1.4411099063618922	0.06845798055816871
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	E2F Targets	-1.413740862547016	0.08365562175533953
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Fatty Acid Metabolism	-1.396134802541731	0.09833803700219504
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	G2-M Checkpoint	-1.389222933011571	0.0973801989794464
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Reactive Oxygen Species Pathway	-1.367432308423143	0.11277046095954844
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Unfolded Protein Response	-1.3641751399390885	0.10890802518271944
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Apical Junction	-1.34778241743904	0.12221699592348699
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	PI3K/AKT/mTOR  Signaling	-1.3266916562101732	0.14472666457614716
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Myc Targets V2	-1.2727630136809835	0.23116572593289436
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Adipogenesis	-1.2725865992155696	0.21776142253702985
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Estrogen Response Early	-1.2644815705420536	0.2219434862896763
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Cholesterol Homeostasis	-1.2628766774703433	0.2130927035368289
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Complement	-1.2505988301406055	0.2281201003449357
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	IL-6/JAK/STAT3 Signaling	-1.2446177864323844	0.22849378070450507
TFORF0978-KLF7	KLF7-3	TFORF0979-KLF7	KLF7-1	Glycolysis	-1.2370346136702937	0.23352290544200235
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	UV Response Dn	-1.604298111928287	0.08082912083724948
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	E2F Targets	-1.4301448526091758	0.2061455872515897
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	Complement	-1.4233192188837154	0.16706251428861735
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	Angiogenesis	-1.3949564073826974	0.1789519140396779
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	mTORC1 Signaling	-1.3352103124197696	0.23402850102878042
TFORF3464-KLF7	KLF7-5	TFORF0979-KLF7	KLF7-1	Mitotic Spindle	-1.3088287715209483	0.23110445014577918
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	G2-M Checkpoint	-1.5937167226800857	0.08842493091802273
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Adipogenesis	-1.535284265227205	0.08082591341725515
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Epithelial Mesenchymal Transition	-1.3900987159296536	0.20033773411114522
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	E2F Targets	-1.377635520714019	0.17166871354006755
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	UV Response Dn	-1.3357816165614922	0.20531163647528403
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Myc Targets V1	-1.3054177357255685	0.22543751918943816
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Pancreas Beta Cells	-1.303490848365562	0.19678494670818894
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Apical Surface	-1.2852236540278092	0.20275560331593492
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Protein Secretion	-1.2690068530466543	0.2021799201719374
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Fatty Acid Metabolism	-1.255985893230993	0.2014430457476205
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	TGF-beta Signaling	-1.2509432547531623	0.18827978898596032
TFORF1142-HMBOX1	HMBOX1-1	TFORF1141-HMBOX1	HMBOX1-2	Oxidative Phosphorylation	-1.2194111790316189	0.2196806877494627
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Myc Targets V1	-1.6234497919460797	0.07352371732817037
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Apical Surface	-1.5573041609930127	0.07277347531461763
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Oxidative Phosphorylation	-1.440997967395846	0.14854791868344627
