clone_id	gene_symbol_tf	gene_symbol_partner	test_orf_ida	test_orf_idb	source	score_pair	score_empty-N1	score_empty-N2	log2 NLR
CREB5-1	CREB5	NPPA	5718	101240	RRS - TF space specific	1071.0	158.0	391.0	1.4537179674429037
ATF2-1	ATF2	ATF2	54731	101414	Lit-BM - TF space specific	10583.0	117.0	501.0	4.400794237588409
ATF2-1	ATF2	MAPK8	54902	101414	Lit-BM - TF space specific	8502.0	117.0	4058.0	1.0670333938825158
ATF2-1	ATF2	ZDHHC17	10618	101414	Lit-BM - TF space specific	1009.0	117.0	2472.0	-1.2927525687980173
ATF2-1	ATF2	LOC100127888	12677	101414	RRS - TF space specific	151.0	117.0	192.0	-0.3465577613960772
ATF2-1	ATF2	MAPK9	10051	101414	Lit-BM - TF space specific	18805.0	117.0	7094.0	1.40644507099248
ATF2-5	ATF2	ATF2	54731	100345	isoform negatives	659.0	89.0	501.0	0.3954678618128432
ATF2-6	ATF2	FOSL2	12504	100448	isoform negatives	12321.0	185.0	6709.0	0.8769497043481246
ZNF24-1	ZNF24	SCAND1	3585	100505	isoform positives	298969.0	144.0	3255.0	6.521194545974844
ZNF24-1	ZNF24	MT1P3	52591	100505	RRS - TF space specific	309.0	144.0	254.0	0.2827783411322088
TFCP2-3	TFCP2	ZNF76	9	101104	isoform negatives	968.0	117.0	1250.0	-0.36884914227485494
TFCP2-1	TFCP2	ZNF76	9	100070	isoform positives	1360.0	151.0	1250.0	0.12167855658825247
TFCP2-1	TFCP2	PDE4C	53018	100070	RRS - TF space specific	16112.0	151.0	13605.0	0.2439986318697437
TFCP2-1	TFCP2	PPP1R26	71149	100070	RRS - TF space specific	762.0	151.0	831.0	-0.1250574792770224
TCF4-7	TCF4	TGFB1	2595	100178	isoform positives	2397.0	137.0	2809.0	-0.2288267154772654
TCF4-3	TCF4	MEMO1	12627	100565	isoform positives	1957.0	110.0	3605.0	-0.881355503501381
TCF4-6	TCF4	MEMO1	12627	100247	isoform negatives	1490.0	172.0	3605.0	-1.274686928778661
TCF4-6	TCF4	CDKN1A	3192	100247	isoform negatives	824.0	172.0	1744.0	-1.081683797593708
TCF4-7	TCF4	CDKN1A	3192	100178	isoform positives	1669.0	137.0	1744.0	-0.06341608541432767
IKZF2-1	IKZF2	IKZF3	10016	101070	isoform positives	143401.0	96.0	9189.0	3.9640034067563104
IKZF2-2	IKZF2	IKZF3	10016	101390	isoform negatives	161642.0	117.0	9189.0	4.136750429358424
