ad_clone_id	ad_gene_symbol	ad_orf_id	db_gene_symbol	db_orf_id	Y2H_result	db_gene_category	db_gene_cofactor_type
ATF2-1	ATF2	101414	ATF2	54731	True	TF	
ATF2-1	ATF2	101414	COL8A1	3053	False	other	
ATF2-1	ATF2	101414	EFEMP2	2906	False	other	
ATF2-1	ATF2	101414	FOSL2	12504		TF	
ATF2-1	ATF2	101414	JDP2	13624	True	TF	
ATF2-2	ATF2	101256	ATF2	54731	True	TF	
ATF2-2	ATF2	101256	COL8A1	3053	False	other	
ATF2-2	ATF2	101256	EFEMP2	2906	False	other	
ATF2-2	ATF2	101256	FOSL2	12504		TF	
ATF2-2	ATF2	101256	JDP2	13624	True	TF	
ATF2-3	ATF2	101254	ATF2	54731	True	TF	
ATF2-3	ATF2	101254	COL8A1	3053	False	other	
ATF2-3	ATF2	101254	EFEMP2	2906	False	other	
ATF2-3	ATF2	101254	FOSL2	12504		TF	
ATF2-3	ATF2	101254	JDP2	13624	True	TF	
ATF2-4	ATF2	100527	ATF2	54731	False	TF	
ATF2-4	ATF2	100527	COL8A1	3053	False	other	
ATF2-4	ATF2	100527	EFEMP2	2906	False	other	
ATF2-4	ATF2	100527	FOSL2	12504	True	TF	
ATF2-4	ATF2	100527	JDP2	13624	True	TF	
ATF2-5	ATF2	100345	ATF2	54731	False	TF	
ATF2-5	ATF2	100345	COL8A1	3053	False	other	
ATF2-5	ATF2	100345	EFEMP2	2906	False	other	
ATF2-5	ATF2	100345	FOSL2	12504	False	TF	
ATF2-5	ATF2	100345	JDP2	13624	False	TF	
ATF2-6	ATF2	100448	ATF2	54731	False	TF	
ATF2-6	ATF2	100448	COL8A1	3053	False	other	
ATF2-6	ATF2	100448	EFEMP2	2906	False	other	
ATF2-6	ATF2	100448	FOSL2	12504	False	TF	
ATF2-6	ATF2	100448	JDP2	13624	False	TF	
ATF2-1	ATF2	101414	MAPK9	10051	True	signaling	
GLI1-1	GLI1	100352	VENTX	52853	False	TF	
ZIC3-1	ZIC3	101257	VENTX	52853	False	TF	
ATF2-2	ATF2	101256	MAPK9	10051	True	signaling	
GLI1-2	GLI1	100670	VENTX	52853	False	TF	
ZIC3-2	ZIC3	101412	VENTX	52853		TF	
ATF2-3	ATF2	101254	MAPK9	10051	False	signaling	
GLI1-3	GLI1	100225	VENTX	52853	False	TF	
ZIC3-3	ZIC3	100090	VENTX	52853	False	TF	
ATF2-4	ATF2	100527	MAPK9	10051	False	signaling	
ATF2-5	ATF2	100345	MAPK9	10051	True	signaling	
ATF2-6	ATF2	100448	MAPK9	10051	True	signaling	
TP53-1	TP53	101376	AP1M1	206	False	other	
TP53-1	TP53	101376	CHEK2	4020	False	cofactor	unknown
TP53-1	TP53	101376	LMO2	1136	False	cofactor	coactivator
TP53-1	TP53	101376	MCRS1	6901	False	cofactor	unknown
TP53-1	TP53	101376	PELI1	10650		cofactor	unknown
TP53-1	TP53	101376	PELI2	6653		signaling	
TP53-1	TP53	101376	PIN1	4406	False	TF	
TP53-1	TP53	101376	PRKAA2	14015	False	signaling	
TP53-1	TP53	101376	SDCBP	53842	False	signaling	
TP53-1	TP53	101376	TRIM17	9881	True	other	
TP53-1	TP53	101376	UBASH3A	13969	False	signaling	
TP53-1	TP53	101376	UBXN7	100064026	False	other	
TP53-2	TP53	101051	AP1M1	206	False	other	
TP53-2	TP53	101051	CHEK2	4020	False	cofactor	unknown
TP53-2	TP53	101051	LMO2	1136	False	cofactor	coactivator
TP53-2	TP53	101051	MCRS1	6901	False	cofactor	unknown
TP53-2	TP53	101051	PELI1	10650	False	cofactor	unknown
TP53-2	TP53	101051	PELI2	6653	False	signaling	
TP53-2	TP53	101051	PIN1	4406	False	TF	
TP53-2	TP53	101051	PRKAA2	14015	False	signaling	
TP53-2	TP53	101051	SDCBP	53842	False	signaling	
TP53-2	TP53	101051	TRIM17	9881	False	other	
TP53-2	TP53	101051	UBASH3A	13969	False	signaling	
TP53-2	TP53	101051	UBXN7	100064026	False	other	
TP53-1	TP53	101376	ZBTB25	10233	True	TF	
TP53-1	TP53	101376	ZNF417	8400	False	TF	
TP53-1	TP53	101376	ZNF76	9	True	TF	
TP53-2	TP53	101051	ZBTB25	10233	False	TF	
TP53-2	TP53	101051	ZNF417	8400	False	TF	
TP53-2	TP53	101051	ZNF76	9	False	TF	
CREB5-1	CREB5	101240	ATF2	54731	False	TF	
CREB5-1	CREB5	101240	COL8A1	3053	False	other	
CREB5-1	CREB5	101240	EFEMP2	2906	True	other	
CREB5-1	CREB5	101240	FOSL2	12504	True	TF	
CREB5-1	CREB5	101240	JDP2	13624	False	TF	
CREB5-2	CREB5	101244	ATF2	54731	False	TF	
CREB5-2	CREB5	101244	COL8A1	3053	False	other	
CREB5-2	CREB5	101244	EFEMP2	2906	False	other	
CREB5-2	CREB5	101244	FOSL2	12504	True	TF	
CREB5-2	CREB5	101244	JDP2	13624	False	TF	
CREB5-1	CREB5	101240	MAPK9	10051	True	signaling	
CREB5-2	CREB5	101244	MAPK9	10051	False	signaling	
GLI1-1	GLI1	100352	AQP1	1231	True	signaling	
GLI1-1	GLI1	100352	CATSPER1	1769	True	other	
GLI1-1	GLI1	100352	GCC1	7306	True	other	
GLI1-1	GLI1	100352	HSD3B7	4278	False	other	
GLI1-1	GLI1	100352	MAPK9	10051	False	signaling	
GLI1-1	GLI1	100352	NME7	5633	False	other	
GLI1-1	GLI1	100352	PIN1	4406	True	TF	
GLI1-1	GLI1	100352	PITX1	6137	False	TF	
GLI1-1	GLI1	100352	PRKAA2	14015	True	signaling	
GLI1-1	GLI1	100352	STK36	100009376		cofactor	unknown
GLI1-1	GLI1	100352	SUFU	6119		cofactor	corepressor
GLI1-2	GLI1	100670	AQP1	1231	True	signaling	
GLI1-2	GLI1	100670	CATSPER1	1769	True	other	
GLI1-2	GLI1	100670	GCC1	7306	True	other	
GLI1-2	GLI1	100670	HSD3B7	4278	False	other	
GLI1-2	GLI1	100670	MAPK9	10051	False	signaling	
GLI1-2	GLI1	100670	NME7	5633	False	other	
GLI1-2	GLI1	100670	PIN1	4406	True	TF	
GLI1-2	GLI1	100670	PITX1	6137	False	TF	
GLI1-2	GLI1	100670	PRKAA2	14015	True	signaling	
GLI1-2	GLI1	100670	STK36	100009376		cofactor	unknown
GLI1-2	GLI1	100670	SUFU	6119		cofactor	corepressor
GLI1-3	GLI1	100225	AQP1	1231	True	signaling	
GLI1-3	GLI1	100225	CATSPER1	1769	True	other	
GLI1-3	GLI1	100225	GCC1	7306	True	other	
GLI1-3	GLI1	100225	HSD3B7	4278		other	
GLI1-3	GLI1	100225	MAPK9	10051		signaling	
GLI1-3	GLI1	100225	NME7	5633		other	
GLI1-3	GLI1	100225	PIN1	4406		TF	
GLI1-3	GLI1	100225	PITX1	6137		TF	
GLI1-3	GLI1	100225	PRKAA2	14015	True	signaling	
GLI1-3	GLI1	100225	STK36	100009376		cofactor	unknown
GLI1-3	GLI1	100225	SUFU	6119		cofactor	corepressor
ZIC3-1	ZIC3	101257	AQP1	1231		signaling	
ZIC3-1	ZIC3	101257	CATSPER1	1769	False	other	
ZIC3-1	ZIC3	101257	GCC1	7306	False	other	
ZIC3-1	ZIC3	101257	HSD3B7	4278	False	other	
ZIC3-1	ZIC3	101257	MAPK9	10051		signaling	
ZIC3-1	ZIC3	101257	NME7	5633	False	other	
ZIC3-1	ZIC3	101257	PIN1	4406	False	TF	
ZIC3-1	ZIC3	101257	PITX1	6137		TF	
ZIC3-1	ZIC3	101257	PRKAA2	14015	False	signaling	
ZIC3-1	ZIC3	101257	STK36	100009376		cofactor	unknown
ZIC3-1	ZIC3	101257	SUFU	6119		cofactor	corepressor
ZIC3-2	ZIC3	101412	AQP1	1231		signaling	
ZIC3-2	ZIC3	101412	CATSPER1	1769		other	
ZIC3-2	ZIC3	101412	GCC1	7306	False	other	
ZIC3-2	ZIC3	101412	HSD3B7	4278	False	other	
ZIC3-2	ZIC3	101412	MAPK9	10051		signaling	
ZIC3-2	ZIC3	101412	NME7	5633		other	
ZIC3-2	ZIC3	101412	PIN1	4406		TF	
ZIC3-2	ZIC3	101412	PITX1	6137		TF	
ZIC3-2	ZIC3	101412	PRKAA2	14015		signaling	
ZIC3-2	ZIC3	101412	STK36	100009376		cofactor	unknown
ZIC3-2	ZIC3	101412	SUFU	6119		cofactor	corepressor
ZIC3-3	ZIC3	100090	AQP1	1231		signaling	
ZIC3-3	ZIC3	100090	CATSPER1	1769	False	other	
