ref_orf	alt_orf	pfam	ref_len	alt_pfam	alt_len	len_diff	alt_is_longer
HIF3A-205	HIF3A-202	HIF3A-205|dom-PAS_3	88	HIF3A-202|dom-PAS_3	88	0	False
HIF3A-205	HIF3A-202	HIF3A-205|dom-PAS_9	105	HIF3A-202|dom-PAS_9	105	0	False
HIF3A-205	HIF3A-202	HIF3A-205|dom-PAS	100	HIF3A-202|dom-PAS	100	0	False
HIF3A-205	HIF3A-202	HIF3A-205|dom-HIF-1	32	HIF3A-202|dom-HIF-1	32	0	False
HIF3A-205	HIF3A-202	HIF3A-205|dom-PAS_11	108	HIF3A-202|dom-PAS_11	108	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS_3	54	HIF3A-204|dom-PAS_3	54	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS_3	88	HIF3A-204|dom-PAS_3	88	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS	88	HIF3A-204|dom-PAS	88	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS_9	105	HIF3A-204|dom-PAS_9	105	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS	100	HIF3A-204|dom-PAS	100	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-HIF-1	32	HIF3A-204|dom-HIF-1	32	0	False
HIF3A-205	HIF3A-204	HIF3A-205|dom-PAS_11	108	HIF3A-204|dom-PAS_11	108	0	False
HIF3A-205	HIF3A-206	HIF3A-205|dom-PAS_3	88	HIF3A-206|dom-PAS_3	88	0	False
HIF3A-205	HIF3A-206	HIF3A-205|dom-PAS_9	105	HIF3A-206|dom-PAS_9	105	0	False
HIF3A-205	HIF3A-206	HIF3A-205|dom-PAS	100	HIF3A-206|dom-PAS	100	0	False
HIF3A-205	HIF3A-206	HIF3A-205|dom-PAS_11	108	HIF3A-206|dom-PAS_11	108	0	False
HIF3A-205	HIF3A-215	HIF3A-205|dom-PAS_3	54	HIF3A-215|dom-PAS_3	49	5	False
HIF3A-205	HIF3A-215	HIF3A-205|dom-PAS	88	HIF3A-215|dom-PAS	66	22	False
HIF3A-205	HIF3A-218	HIF3A-205|dom-PAS_3	88	HIF3A-218|dom-PAS_3	88	0	False
HIF3A-205	HIF3A-218	HIF3A-205|dom-PAS_9	105	HIF3A-218|dom-PAS_9	105	0	False
HIF3A-205	HIF3A-218	HIF3A-205|dom-PAS	100	HIF3A-218|dom-PAS	100	0	False
HIF3A-205	HIF3A-218	HIF3A-205|dom-HIF-1	32	HIF3A-218|dom-HIF-1	32	0	False
HIF3A-205	HIF3A-218	HIF3A-205|dom-PAS_11	108	HIF3A-218|dom-PAS_11	108	0	False
ZNF709-201	ZNF709-202	ZNF709-201|dom-KRAB	41	ZNF709-202|dom-KRAB	41	0	False
ZNF708-201	ZNF708-203	ZNF708-201|dom-zf-C2H2	23	ZNF708-203|dom-zf-C2H2	23	0	False
ZNF708-201	ZNF708-203	ZNF708-201|dom-zf-H2C2_2	23	ZNF708-203|dom-zf-H2C2_2	23	0	False
ZNF879-201	ZNF879-203	ZNF879-201|dom-KRAB	41	ZNF879-203|dom-KRAB	28	13	False
ZNF879-201	ZNF879-204	ZNF879-201|dom-KRAB	41	ZNF879-204|dom-KRAB	41	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2_jaz	22	ZNF701-201|dom-zf-C2H2_jaz	22	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-Cript	102	ZNF701-201|dom-Cript	99	3	False
