gene_symbol	Ensembl_gene_ID	family	reference_isoform	alternative_isoform	DBD_pct_lost_in_alt	PDI_category	PPI_category	M1H_activation_category	localization_category	alt_iso_classification	detailed_alt_iso_classification
ZBTB18	ENSG00000179456	C2H2 ZF	ZBTB18-1	ZBTB18-2	0.0	PDI gain	PPI rewire	similar	no localization change	rewirer	rewirer
PRRX1	ENSG00000116132	Homeodomain	PRRX1-2	PRRX1-1	0.0	NA	NA	similar	no localization change	NA	NA
PRRX1	ENSG00000116132	Homeodomain	PRRX1-2	PRRX1-3	0.0	no PDI change	NA	similar	no localization change	similar to ref.	similar to ref.
POU2F1	ENSG00000143190	Homeodomain; POU	POU2F1-2	POU2F1-1	0.0	NA	NA	NA	NA	NA	NA
ATF3	ENSG00000162772	bZIP	ATF3-1	ATF3-2	46.774193548387096	NA	NA	repression GoF	NA	NA	NA
GRHL3	ENSG00000158055	Grainyhead	GRHL3-3	GRHL3-1	0.0	NA	PPI loss: all	similar	no localization change	negative regulator	negative regulator (PPIs)
GRHL3	ENSG00000158055	Grainyhead	GRHL3-3	GRHL3-2	0.0	NA	PPI loss: all	similar	no localization change	negative regulator	negative regulator (PPIs)
GRHL3	ENSG00000158055	Grainyhead	GRHL3-3	GRHL3-4	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
GRHL3	ENSG00000158055	Grainyhead	GRHL3-3	GRHL3-6	0.0	NA	PPI loss: all	similar	no localization change	negative regulator	negative regulator (PPIs)
GRHL3	ENSG00000158055	Grainyhead	GRHL3-3	GRHL3-7	0.0	NA	no PPI change (all PPIs)	similar	no localization change	similar to ref.	similar to ref.
ZNF691	ENSG00000164011	C2H2 ZF	ZNF691-1	ZNF691-2	0.0	NA	NA	similar	NA	NA	NA
NFIA	ENSG00000162599	SMAD	NFIA-2	NFIA-3	0.0	NA	PPI loss: all	rewire	NA	negative regulator	negative regulator (PPIs)
NFIA	ENSG00000162599	SMAD	NFIA-2	NFIA-4	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZBTB7B	ENSG00000160685	C2H2 ZF	ZBTB7B-2	ZBTB7B-1	0.0	NA	NA	NA	NA	NA	NA
LHX8	ENSG00000162624	Homeodomain	LHX8-2	LHX8-1	0.0	NA	NA	NA	NA	NA	NA
PAX7	ENSG00000009709	Homeodomain; Paired box	PAX7-2	PAX7-1	1.0810810810810811	NA	NA	similar	NA	NA	NA
PAX7	ENSG00000009709	Homeodomain; Paired box	PAX7-2	PAX7-3	0.5405405405405406	NA	NA	similar	NA	NA	NA
PAX7	ENSG00000009709	Homeodomain; Paired box	PAX7-2	PAX7-4	1.6216216216216215	NA	NA	similar	NA	NA	NA
LHX9	ENSG00000143355	Homeodomain	LHX9-1	LHX9-3	0.0	PDI gain	PPI rewire	similar	no localization change	rewirer	rewirer
LHX9	ENSG00000143355	Homeodomain	LHX9-1	LHX9-2	0.0	PDI gain	no PPI change (all PPIs)	similar	no localization change	rewirer	rewirer
