tf	orf1	orf2	seg1_len	seg2_len	len_diff	perc_change	len_frameshift	len_pblock	perc_frameshift	clustal_score1	clustal_score2
HIF3A	HIF3A-205	HIF3A-202	121	52	69	42.9752066116	52	121	42.9752066116	7	-16
HIF3A	HIF3A-205	HIF3A-204	9	7	2	77.7777777778	0	16	0.0	28	-8
HIF3A	HIF3A-205	HIF3A-206	121	52	69	42.9752066116	52	121	42.9752066116	7	-16
HIF3A	HIF3A-205	HIF3A-206	32	26	6	81.25	0	58	0.0	11	-8
HIF3A	HIF3A-205	HIF3A-215	73	65	8	89.0410958904	52	85	61.1764705882	7	-6
HIF3A	HIF3A-205	HIF3A-218	121	52	69	42.9752066116	52	121	42.9752066116	7	-16
HIF3A	HIF3A-205	HIF3A-218	32	26	6	81.25	0	58	0.0	11	-8
ZNF709	ZNF709-201	ZNF709-202	1	30	-29	3000.0	0	31	0.0	0	-18
ZNF879	ZNF879-201	ZNF879-202	552	96	456	17.3913043478	85	563	15.0976909414	20	2
ZNF701	ZNF701-202	ZNF701-207	465	76	389	16.3440860215	0	541	0.0	43	234
ZNF700	ZNF700-201	ZNF700-202	21	3	18	14.2857142857	0	24	0.0	33	-15
ZNF707	ZNF707-222	ZNF707-203	324	8	316	2.46913580247	0	332	0.0	25	-17
ZNF707	ZNF707-222	ZNF707-217	324	87	237	26.8518518519	87	324	26.8518518519	12	26
ZNF706	ZNF706-201	ZNF706-205	31	34	-3	109.677419355	25	40	62.5	16	-17
ZNF706	ZNF706-201	ZNF706-206	31	3	28	9.67741935484	0	34	0.0	33	-5
KDM2A	KDM2A-210	KDM2A-202	390	10	380	2.5641025641	10	390	2.5641025641	0	-7
KDM2A	KDM2A-210	KDM2A-212	493	54	439	10.953346856	0	547	0.0	20	18
KDM2B	KDM2B-202	KDM2B-201	42	11	31	26.1904761905	0	53	0.0	27	-5
KDM2B	KDM2B-202	KDM2B-201	17	15	2	88.2352941176	0	32	0.0	6	-17
KDM2B	KDM2B-202	KDM2B-203	42	5	37	11.9047619048	0	47	0.0	0	-16
KDM2B	KDM2B-202	KDM2B-205	635	5	630	0.787401574803	5	635	0.787401574803	80	6
KDM2B	KDM2B-202	KDM2B-206	758	19	739	2.50659630607	0	777	0.0	21	-3
KDM2B	KDM2B-202	KDM2B-212	1336	41	1295	3.06886227545	24	1353	1.77383592018	21	45
KDM2B	KDM2B-202	KDM2B-214	310	12	298	3.87096774194	0	322	0.0	25	-11
KDM2B	KDM2B-202	KDM2B-217	987	5	982	0.506585612969	0	992	0.0	60	-13
KDM2B	KDM2B-202	KDM2B-219	683	23	660	3.36749633968	23	683	3.36749633968	13	-2
IRX3	IRX3-201	IRX3-202	412	60	352	14.5631067961	40	432	9.25925925926	16	44
ZNF43	ZNF43-201	ZNF43-202	1	10	-9	1000.0	0	11	0.0	100	-4
ZNF43	ZNF43-201	ZNF43-209	733	14	719	1.90995907231	0	747	0.0	14	-11
ZNF41	ZNF41-201	ZNF41-203	24	34	-10	141.666666667	21	37	56.7567567568	8	2
SP2	SP2-201	SP2-202	380	23	357	6.05263157895	0	403	0.0	17	-4
SP2	SP2-201	SP2-206	2	62	-60	3100.0	2	62	3.22580645161	50	-10
SP3	SP3-201	SP3-202	781	5	776	0.640204865557	5	781	0.640204865557	60	-3
ZNF677	ZNF677-206	ZNF677-204	528	24	504	4.54545454545	0	552	0.0	16	-8
ZNF677	ZNF677-206	ZNF677-207	528	15	513	2.84090909091	0	543	0.0	20	5
ZNF677	ZNF677-206	ZNF677-208	528	21	507	3.97727272727	0	549	0.0	23	-1
ZNF677	ZNF677-206	ZNF677-210	528	12	516	2.27272727273	0	540	0.0	50	19
ZNF675	ZNF675-201	ZNF675-202	493	4	489	0.811359026369	0	497	0.0	50	-10
ZNF675	ZNF675-201	ZNF675-204	493	2	491	0.405679513185	0	495	0.0	100	-8
ZNF675	ZNF675-201	ZNF675-207	493	43	450	8.72210953347	0	536	0.0	9	-26
ZNF675	ZNF675-201	ZNF675-208	493	26	467	5.2738336714	0	519	0.0	7	-9
ZNF675	ZNF675-201	ZNF675-209	493	42	451	8.51926977688	0	535	0.0	11	5
ZNF674	ZNF674-207	ZNF674-203	502	20	482	3.98406374502	0	522	0.0	20	-7
ZNF671	ZNF671-201	ZNF671-203	488	10	478	2.04918032787	10	488	2.04918032787	20	3
MAX	MAX-205	MAX-201	103	39	64	37.8640776699	0	142	0.0	7	-28
MAX	MAX-205	MAX-202	62	36	26	58.064516129	0	98	0.0	8	-53
MAX	MAX-205	MAX-203	103	26	77	25.2427184466	0	129	0.0	7	-12
MAX	MAX-205	MAX-211	62	5	57	8.06451612903	0	67	0.0	60	-13
MAX	MAX-205	MAX-212	148	70	78	47.2972972973	62	156	39.7435897436	7	-12
MAX	MAX-205	MAX-213	62	36	26	58.064516129	0	98	0.0	8	-53
MAX	MAX-205	MAX-216	62	5	57	8.06451612903	0	67	0.0	60	-13
MAX	MAX-205	MAX-217	99	36	63	36.3636363636	7	127	5.51181102362	8	-15
MAX	MAX-205	MAX-218	62	32	30	51.6129032258	0	94	0.0	15	-33
MAZ	MAZ-201	MAZ-202	67	51	16	76.1194029851	0	118	0.0	9	2
MAZ	MAZ-201	MAZ-203	35	12	23	34.2857142857	0	47	0.0	8	-16
MAZ	MAZ-201	MAZ-203	67	51	16	76.1194029851	0	118	0.0	9	2
MAZ	MAZ-201	MAZ-205	67	51	16	76.1194029851	0	118	0.0	9	2
MAZ	MAZ-201	MAZ-207	67	51	16	76.1194029851	0	118	0.0	9	2
MAZ	MAZ-201	MAZ-208	400	93	307	23.25	0	492	0.0	20	32
MAZ	MAZ-201	MAZ-210	400	91	309	22.75	0	490	0.0	24	43
MAZ	MAZ-201	MAZ-211	67	26	41	38.8059701493	0	93	0.0	11	-23
MAZ	MAZ-201	MAZ-213	493	38	455	7.70791075051	38	493	7.70791075051	26	36
MAZ	MAZ-201	MAZ-214	67	51	16	76.1194029851	0	118	0.0	9	2
MAZ	MAZ-201	MAZ-215	67	26	41	38.8059701493	0	93	0.0	11	-23
MAZ	MAZ-201	MAZ-216	5	4	1	80.0	4	5	80.0	25	-4
MAZ	MAZ-201	MAZ-216	67	51	16	76.1194029851	0	118	0.0	9	2
ZNF678	ZNF678-201	ZNF678-203	28	83	-55	296.428571429	0	111	0.0	10	-19
ZNF678	ZNF678-201	ZNF678-205	450	1	449	0.222222222222	0	451	0.0	100	-23
MYRFL	MYRFL-205	MYRFL-201	639	4	635	0.625978090767	0	643	0.0	50	-9
MYRFL	MYRFL-205	MYRFL-204	910	6	904	0.659340659341	6	910	0.659340659341	16	-2
MAF	MAF-201	MAF-203	31	11	20	35.4838709677	0	41	0.0	27	-15
ZNF451	ZNF451-204	ZNF451-201	497	951	-454	191.348088531	0	1448	0.0	10	158
ZNF451	ZNF451-204	ZNF451-202	497	11	486	2.21327967807	0	508	0.0	27	12
ZNF451	ZNF451-204	ZNF451-203	497	999	-502	201.006036217	0	1496	0.0	10	158
ZNF451	ZNF451-204	ZNF451-205	497	13	484	2.61569416499	0	510	0.0	23	1
ZNF451	ZNF451-204	ZNF451-208	497	979	-482	196.981891348	0	1476	0.0	10	164
ZNF451	ZNF451-204	ZNF451-216	497	124	373	24.9496981891	0	621	0.0	9	45
ZNF451	ZNF451-204	ZNF451-218	559	40	519	7.15563506261	0	599	0.0	12	-3
BACH1	BACH1-201	BACH1-203	736	7	729	0.951086956522	7	736	0.951086956522	42	-6
BACH1	BACH1-201	BACH1-208	736	14	722	1.90217391304	14	736	1.90217391304	28	3
FBXL19	FBXL19-202	FBXL19-203	694	65	629	9.36599423631	65	694	9.36599423631	21	23
FBXL19	FBXL19-202	FBXL19-208	598	35	563	5.85284280936	35	598	5.85284280936	31	17
FBXL19	FBXL19-202	FBXL19-209	694	75	619	10.8069164265	75	694	10.8069164265	24	47
