ref_orf	alt_orf	pfam_in_alt_only
HIF3A-205	HIF3A-206	unknown
HIF3A-205	HIF3A-215	PAS_4
HIF3A-205	HIF3A-218	unknown
ZNF708-201	ZNF708-203	zf-AN1
ZNF676-202	ZNF676-201	zf-C2H2_jaz
ZNF675-201	ZNF675-208	unknown
MAX-205	MAX-210	bZIP_2
MAX-205	MAX-215	SlyX
MAZ-201	MAZ-205	zf-RING_10
MAZ-201	MAZ-206	zf-met
MAZ-201	MAZ-207	zf-RING_10
MAZ-201	MAZ-211	Zn-ribbon_8
MAZ-201	MAZ-212	zf-met
MAZ-201	MAZ-216	Zn-ribbon_8
ZNF678-201	ZNF678-203	KRAB
BACH1-201	BACH1-204	DUF3342
BACH1-201	BACH1-205	DUF3342
BACH1-201	BACH1-206	DUF3342
FBXL19-202	FBXL19-204	LRR_4
FBXL19-202	FBXL19-208	LRR_4
KCNIP3-201	KCNIP3-205	unknown
ZEB1-201	ZEB1-203	zf-C2HE
ZEB1-201	ZEB1-211	zf-C2HE
ZEB1-201	ZEB1-215	zf-C2HE
ZEB1-201	ZEB1-222	zf-C2HE
ZEB2-225	ZEB2-202	zf-C2H2_4
ZEB2-225	ZEB2-205	zf-C2HE
ZEB2-225	ZEB2-206	zf-C2H2_2
ZEB2-225	ZEB2-210	zf-C2HE
ZEB2-225	ZEB2-247	zf-C2H2_6
ZEB2-225	ZEB2-248	zf-C2H2_6
HLX-201	HLX-202	Homeobox_KN
ZNF292-202	ZNF292-205	unknown
CXXC1-201	CXXC1-207	PHD_2
CXXC1-201	CXXC1-211	PHD_2
FIZ1-201	FIZ1-204	Zn-ribbon_8
THAP4-204	THAP4-206	DUF4201
HMG20B-202	HMG20B-216	unknown
SHOX2-203	SHOX2-202	MRP-L20
ZNF844-201	ZNF844-203	zf-C2H2_11
RFX2-201	RFX2-205	Pox_D5
ELK3-201	ELK3-203	HSF_DNA-bind
ELK4-202	ELK4-203	HSF_DNA-bind
FOXP2-201	FOXP2-203	CDC45
FOXP2-201	FOXP2-204	CAF1
FOXP2-201	FOXP2-205	CDC45
FOXP2-201	FOXP2-206	CDC45
FOXP2-201	FOXP2-210	CDC45
FOXP2-201	FOXP2-211	CDC45
FOXP2-201	FOXP2-225	Apt1
ZNF57-201	ZNF57-203	zf-H2C2_5
ZNF607-201	ZNF607-204	zf-met
TCF4-202	TCF4-227	unknown
TCF3-201	TCF3-211	DUF4349
TCF3-201	TCF3-217	DUF4349
CREM-204	CREM-203	KfrA_N
CREM-204	CREM-238	KfrA_N
ZNF117-201	ZNF117-203	Zn-ribbon_8
LCORL-207	LCORL-202	HTH_psq
