gene_symbol_a	clone_id_a	gene_symbol_b	clone_id_b	category	aa_seq_pct_identity	PDI_Jaccard_d	PPI_Jaccard_d	activation_abs_fold_change_log2
ZKSCAN3	ZKSCAN3-2	ZNF263	ZNF263-1	paralogs	34.55571227080395			2.836074567051365
ZNF263	ZNF263-1	ZSCAN21	ZSCAN21-1	paralogs	33.66477272727273			2.9968502745949728
ZNF24	ZNF24-1	ZNF263	ZNF263-1	paralogs	25.07082152974504		0.5	3.7658517440489065
ZNF263	ZNF263-1	ZNF75A	ZNF75A-1	paralogs	19.68390804597701			5.17099211163253
ZNF263	ZNF263-1	ZSCAN25	ZSCAN25-1	paralogs	33.14685314685315			3.1133504628676723
ZNF263	ZNF263-1	ZSCAN9	ZSCAN9-1	paralogs	25.93659942363112		0.5	4.548148372752897
ZNF263	ZNF263-1	ZNF397	ZNF397-2	paralogs	35.75498575498576		0.75	4.872133357499401
ZNF263	ZNF263-1	ZNF394	ZNF394-1	paralogs	32.70524899057873		0.75	
ZNF263	ZNF263-1	ZNF449	ZNF449-1	paralogs	33.85714285714286			
ZKSCAN1	ZKSCAN1-1	ZNF263	ZNF263-1	paralogs	35.3185595567867		0.5	4.195721345742849
ZNF263	ZNF263-1	ZSCAN26	ZSCAN26-1	paralogs	31.330472103004293			2.939298407059772
ZNF232	ZNF232-1	ZNF263	ZNF263-1	paralogs	24.897959183673468			
DLX4	DLX4-1	DLX6	DLX6-2	paralogs	37.086092715231786	0.9285714285714286		
DLX5	DLX5-1	DLX6	DLX6-2	paralogs	35.58282208588957	0.9166666666666667		0.202667199952196
DLX1	DLX1-1	DLX6	DLX6-2	paralogs	51.15511551155115	0.75		1.7026176256408574
TEAD3	TEAD3-2	TEAD4	TEAD4-2	paralogs	68.8195991091314			
TEAD1	TEAD1-5	TEAD3	TEAD3-2	paralogs	71.10091743119266			2.177701146069937
TEAD2	TEAD2-1	TEAD3	TEAD3-2	paralogs	61.63793103448276		0.25	2.433017466426156
NFIA	NFIA-2	NFIX	NFIX-1	paralogs	70.27027027027027		1.0	2.871554644444301
NFIC	NFIC-1	NFIX	NFIX-1	paralogs	57.95454545454546			0.3433840100876888
PAX7	PAX7-2	PAX8	PAX8-2	paralogs	29.80599647266314			
PAX7	PAX7-2	PRRX1	PRRX1-2	paralogs	16.48148148148148			0.2474398526420318
OTX2	OTX2-2	PAX7	PAX7-2	paralogs	17.05989110707804			2.822326510309181
PAX4	PAX4-2	PAX7	PAX7-2	paralogs	26.217228464419478			
PAX5	PAX5-1	PAX7	PAX7-2	paralogs	29.31654676258993			0.4011385862297959
ETV7	ETV7-1	FLI1	FLI1-1	paralogs	16.21129326047359	1.0		2.2105718369112344
ERF	ERF-1	ETV7	ETV7-1	paralogs	5.827814569536424			
ETV4	ETV4-1	ETV7	ETV7-1	paralogs	17.01323251417769			2.421894776302112
ELF5	ELF5-2	ETV7	ETV7-1	paralogs	19.9468085106383			
ELK3	ELK3-1	ETV7	ETV7-1	paralogs	7.120253164556963	1.0		
ETV6	ETV6-1	ETV7	ETV7-1	paralogs	38.853503184713375			
ELK4	ELK4-1	ETV7	ETV7-1	paralogs	7.64525993883792			2.128302978462717
ETV7	ETV7-1	SPIB	SPIB-2	paralogs	16.87344913151365			2.3096997095475538
ETV7	ETV7-1	SPDEF	SPDEF-2	paralogs	18.63636363636364			2.3702607323815954
ELF2	ELF2-2	ETV7	ETV7-1	paralogs	11.621233859397416			2.5406415888588243
ETV2	ETV2-2	ETV7	ETV7-1	paralogs	20.97560975609756			
ZBTB16	ZBTB16-1	ZBTB32	ZBTB32-1	paralogs	26.81564245810056		0.9038461538461539	2.415019803394885
ZBTB32	ZBTB32-1	ZNF451	ZNF451-2	paralogs	7.204385277995301		1.0	1.2996687136970253
ZBTB32	ZBTB32-1	ZNF143	ZNF143-1	paralogs	11.28084606345476		1.0	6.986594866044035
ZBTB18	ZBTB18-1	ZBTB32	ZBTB32-1	paralogs	19.798657718120804		1.0	2.3807684103777444
ZBTB32	ZBTB32-1	ZNF692	ZNF692-1	paralogs	19.412724306688418			1.4418845074825657
ZBTB32	ZBTB32-1	ZNF148	ZNF148-1	paralogs	7.996051332675222			2.9775835458161444
PATZ1	PATZ1-1	ZBTB32	ZBTB32-1	paralogs	16.480793060718714		0.6666666666666667	3.1483894619805217
ZBTB32	ZBTB32-1	ZNF410	ZNF410-1	paralogs	17.109634551495017			5.4921536220057
MAZ	MAZ-2	ZBTB32	ZBTB32-1	paralogs	10.228802153432031			2.315826446028825
ZBTB1	ZBTB1-1	ZBTB32	ZBTB32-1	paralogs	16.389244558258643			
ZBTB32	ZBTB32-1	ZNF276	ZNF276-1	paralogs	16.38418079096045			1.3247203478930731
HSF2	HSF2-1	HSFY1	HSFY1-1	paralogs	10.601719197707736			1.3096402123986712
NR1H3	NR1H3-1	THRB	THRB-2	paralogs	29.350104821802937			1.0289962642554538
NR1H3	NR1H3-1	RARA	RARA-1	paralogs	26.62835249042146			2.8957795575131597
NR1H3	NR1H3-1	RARB	RARB-1	paralogs	25.576923076923077		0.0	3.2624579207434827
NR1H3	NR1H3-1	PPARG	PPARG-1	paralogs	26.52671755725191		0.0	2.0918651456897965
NR1H3	NR1H3-1	RORA	RORA-1	paralogs	24.551971326164875			1.1324386721387272
NR1H3	NR1H3-1	RARG	RARG-1	paralogs	27.220077220077226			2.078596017553445
NR1H3	NR1H3-1	PPARD	PPARD-1	paralogs	27.016129032258064		0.0	
NR1H3	NR1H3-1	RORC	RORC-3	paralogs	21.73913043478261			2.1410716834576244
NR1H3	NR1H3-1	VDR	VDR-2	paralogs	27.29044834307992			
NR1H3	NR1H3-1	THRA	THRA-2	paralogs	27.593360995850624			2.755346573306271
POU2F1	POU2F1-2	POU2F2	POU2F2-4	paralogs	34.06169665809769			2.243085243302429
HDX	HDX-1	POU2F2	POU2F2-4	paralogs	13.840399002493768	1.0		4.960680615796709
POU2F2	POU2F2-4	POU5F1	POU5F1-1	paralogs	29.296875	0.7272727272727273		2.7416375835885467
ARNT2	ARNT2-1	ARNTL2	ARNTL2-2	paralogs	26.362484157160964		0.9230769230769231	4.06939955966341
ARNTL	ARNTL-1	ARNTL2	ARNTL2-2	paralogs	48.125937031484256		0.0	
ARNTL2	ARNTL2-2	NPAS2	NPAS2-1	paralogs	15.625		1.0	
IKZF2	IKZF2-2	ZNF613	ZNF613-1	paralogs	9.269988412514484			1.596756601708416
SOX10	SOX10-1	SOX30	SOX30-1	paralogs	16.666666666666664			1.2635060965429992
SOX30	SOX30-1	SOX5	SOX5-1	paralogs	12.146118721461187			0.0270067780291518
SOX15	SOX15-1	SOX30	SOX30-1	paralogs	8.646616541353383	1.0		0.8129939935826879
SOX30	SOX30-1	SOX6	SOX6-3	paralogs	13.178984861976849			
FOXO3	FOXO3-2	FOXP3	FOXP3-3	paralogs	9.57683741648107			11.536312237381438
FOXD4L1	FOXD4L1-1	FOXP3	FOXP3-3	paralogs	10.307692307692308			1.694171855615808
FOXJ2	FOXJ2-1	FOXP3	FOXP3-3	paralogs	6.933019976498238			8.054157332043449
CREB1	CREB1-2	CREB3L3	CREB3L3-1	paralogs	13.636363636363637			
CREB3L3	CREB3L3-1	CREM	CREM-1	paralogs	12.573673870333987			
FOXJ2	FOXJ2-1	FOXO3	FOXO3-2	paralogs	19.18158567774936			3.482154905337989
FOXD4L1	FOXD4L1-1	FOXJ2	FOXJ2-1	paralogs	17.758369723435223			6.35998547642764
KLF6	KLF6-1	KLF7	KLF7-1	paralogs	50.0	1.0		1.493248625859258
