gene_symbol_a	clone_id_a	gene_symbol_b	clone_id_b	category	aa_seq_pct_identity	PDI_Jaccard_d	PPI_Jaccard_d	activation_abs_fold_change_log2
ZKSCAN3	ZKSCAN3-2	ZNF263	ZNF263-1	paralogs	34.555712270803944			2.8360745670513654
ZNF263	ZNF263-1	ZSCAN21	ZSCAN21-1	paralogs	33.66477272727273			2.9968502745949728
ZNF24	ZNF24-1	ZNF263	ZNF263-1	paralogs	25.07082152974504		0.5	3.7658517440489065
ZNF263	ZNF263-1	ZNF75A	ZNF75A-1	paralogs	19.68390804597701			5.17099211163253
ZNF263	ZNF263-1	ZSCAN25	ZSCAN25-1	paralogs	33.14685314685315			3.1133504628676723
ZNF263	ZNF263-1	ZSCAN9	ZSCAN9-1	paralogs	25.93659942363112		0.5	4.548148372752896
ZNF263	ZNF263-1	ZNF397	ZNF397-2	paralogs	35.75498575498575		0.75	4.8721333574994015
ZNF263	ZNF263-1	ZNF394	ZNF394-1	paralogs	32.70524899057873		0.75	
ZNF263	ZNF263-1	ZNF449	ZNF449-1	paralogs	33.85714285714286			
ZKSCAN1	ZKSCAN1-1	ZNF263	ZNF263-1	paralogs	35.3185595567867		0.5	4.195721345742848
ZNF263	ZNF263-1	ZSCAN26	ZSCAN26-1	paralogs	31.33047210300429			2.939298407059772
ZNF232	ZNF232-1	ZNF263	ZNF263-1	paralogs	24.897959183673468			
DLX4	DLX4-1	DLX6	DLX6-2	paralogs	37.08609271523178	0.9285714285714286		
DLX5	DLX5-1	DLX6	DLX6-2	paralogs	35.58282208588957	0.9166666666666666		0.20266719995219606
DLX1	DLX1-1	DLX6	DLX6-2	paralogs	51.15511551155115	0.75		1.7026176256408574
TEAD3	TEAD3-2	TEAD4	TEAD4-2	paralogs	68.8195991091314			
TEAD1	TEAD1-5	TEAD3	TEAD3-2	paralogs	71.10091743119266			2.177701146069937
TEAD2	TEAD2-1	TEAD3	TEAD3-2	paralogs	61.637931034482754		0.25	2.4330174664261563
NFIA	NFIA-2	NFIX	NFIX-1	paralogs	70.27027027027027		1.0	2.871554644444301
NFIC	NFIC-1	NFIX	NFIX-1	paralogs	57.95454545454546			0.3433840100876888
PAX7	PAX7-2	PAX8	PAX8-2	paralogs	29.80599647266314			
PAX7	PAX7-2	PRRX1	PRRX1-2	paralogs	16.48148148148148			0.24743985264203186
OTX2	OTX2-2	PAX7	PAX7-2	paralogs	17.05989110707804			2.822326510309181
PAX4	PAX4-2	PAX7	PAX7-2	paralogs	26.217228464419474			
PAX5	PAX5-1	PAX7	PAX7-2	paralogs	29.316546762589933			0.4011385862297959
ETV7	ETV7-1	FLI1	FLI1-1	paralogs	16.21129326047359	1.0		2.2105718369112344
ERF	ERF-1	ETV7	ETV7-1	paralogs	5.827814569536423			
ETV4	ETV4-1	ETV7	ETV7-1	paralogs	17.01323251417769			2.421894776302112
ELF5	ELF5-2	ETV7	ETV7-1	paralogs	19.946808510638302			
ELK3	ELK3-1	ETV7	ETV7-1	paralogs	7.1202531645569636	1.0		
ETV6	ETV6-1	ETV7	ETV7-1	paralogs	38.853503184713375			
ELK4	ELK4-1	ETV7	ETV7-1	paralogs	7.6452599388379205			2.1283029784627168
ETV7	ETV7-1	SPIB	SPIB-2	paralogs	16.87344913151365			2.3096997095475538
ETV7	ETV7-1	SPDEF	SPDEF-2	paralogs	18.63636363636364			2.3702607323815954
ELF2	ELF2-2	ETV7	ETV7-1	paralogs	11.621233859397414			2.5406415888588243
ETV2	ETV2-2	ETV7	ETV7-1	paralogs	20.97560975609756			
ZBTB16	ZBTB16-1	ZBTB32	ZBTB32-1	paralogs	26.81564245810056		0.9038461538461539	2.415019803394885
ZBTB32	ZBTB32-1	ZNF451	ZNF451-2	paralogs	7.2043852779953		1.0	1.2996687136970249
ZBTB32	ZBTB32-1	ZNF143	ZNF143-1	paralogs	11.280846063454758		1.0	6.986594866044035
ZBTB18	ZBTB18-1	ZBTB32	ZBTB32-1	paralogs	19.798657718120804		1.0	2.3807684103777444
ZBTB32	ZBTB32-1	ZNF692	ZNF692-1	paralogs	19.412724306688414			1.4418845074825657
ZBTB32	ZBTB32-1	ZNF148	ZNF148-1	paralogs	7.996051332675222			2.9775835458161444
PATZ1	PATZ1-1	ZBTB32	ZBTB32-1	paralogs	16.480793060718714		0.6666666666666667	3.1483894619805217
ZBTB32	ZBTB32-1	ZNF410	ZNF410-1	paralogs	17.109634551495017			5.4921536220056995
MAZ	MAZ-2	ZBTB32	ZBTB32-1	paralogs	10.228802153432033			2.3158264460288254
ZBTB1	ZBTB1-1	ZBTB32	ZBTB32-1	paralogs	16.389244558258646			
ZBTB32	ZBTB32-1	ZNF276	ZNF276-1	paralogs	16.38418079096045			1.3247203478930731
HSF2	HSF2-1	HSFY1	HSFY1-1	paralogs	10.601719197707736			1.3096402123986712
NR1H3	NR1H3-1	THRB	THRB-2	paralogs	29.350104821802937			1.0289962642554538
NR1H3	NR1H3-1	RARA	RARA-1	paralogs	26.628352490421463			2.8957795575131597
NR1H3	NR1H3-1	RARB	RARB-1	paralogs	25.576923076923073		0.0	3.2624579207434827
NR1H3	NR1H3-1	PPARG	PPARG-1	paralogs	26.52671755725191		0.0	2.0918651456897965
NR1H3	NR1H3-1	RORA	RORA-1	paralogs	24.551971326164875			1.1324386721387272
NR1H3	NR1H3-1	RARG	RARG-1	paralogs	27.22007722007723			2.078596017553445
NR1H3	NR1H3-1	PPARD	PPARD-1	paralogs	27.016129032258068		0.0	
NR1H3	NR1H3-1	RORC	RORC-3	paralogs	21.73913043478261			2.1410716834576244
NR1H3	NR1H3-1	VDR	VDR-2	paralogs	27.29044834307992			
NR1H3	NR1H3-1	THRA	THRA-2	paralogs	27.593360995850624			2.7553465733062708
POU2F1	POU2F1-2	POU2F2	POU2F2-4	paralogs	34.061696658097695			2.243085243302428
HDX	HDX-1	POU2F2	POU2F2-4	paralogs	13.840399002493768	1.0		4.960680615796708
POU2F2	POU2F2-4	POU5F1	POU5F1-1	paralogs	29.296875	0.7272727272727273		2.741637583588546
ARNT2	ARNT2-1	ARNTL2	ARNTL2-2	paralogs	26.362484157160964		0.9230769230769231	4.069399559663409
ARNTL	ARNTL-1	ARNTL2	ARNTL2-2	paralogs	48.12593703148426		0.0	
ARNTL2	ARNTL2-2	NPAS2	NPAS2-1	paralogs	15.625		1.0	
IKZF2	IKZF2-2	ZNF613	ZNF613-1	paralogs	9.269988412514484			1.596756601708416
SOX10	SOX10-1	SOX30	SOX30-1	paralogs	16.666666666666664			1.2635060965429992
SOX30	SOX30-1	SOX5	SOX5-1	paralogs	12.146118721461187			0.027006778029151857
SOX15	SOX15-1	SOX30	SOX30-1	paralogs	8.646616541353383	1.0		0.8129939935826879
SOX30	SOX30-1	SOX6	SOX6-3	paralogs	13.178984861976847			
FOXO3	FOXO3-2	FOXP3	FOXP3-3	paralogs	9.576837416481071			11.536312237381436
FOXD4L1	FOXD4L1-1	FOXP3	FOXP3-3	paralogs	10.307692307692307			1.6941718556158074
FOXJ2	FOXJ2-1	FOXP3	FOXP3-3	paralogs	6.933019976498238			8.054157332043449
CREB1	CREB1-2	CREB3L3	CREB3L3-1	paralogs	13.636363636363635			
CREB3L3	CREB3L3-1	CREM	CREM-1	paralogs	12.57367387033399			
FOXJ2	FOXJ2-1	FOXO3	FOXO3-2	paralogs	19.18158567774936			3.4821549053379885
FOXD4L1	FOXD4L1-1	FOXJ2	FOXJ2-1	paralogs	17.758369723435226			6.35998547642764
KLF6	KLF6-1	KLF7	KLF7-1	paralogs	50.0	1.0		1.493248625859258
KLF12	KLF12-2	KLF6	KLF6-1	paralogs	29.86111111111111	1.0		4.251750716911247
KLF4	KLF4-1	KLF6	KLF6-1	paralogs	20.97087378640777			0.27232332498934353
ZFY	ZFY-1	ZNF419	ZNF419-1	paralogs	17.416378316032294			
ZFY	ZFY-1	ZNF418	ZNF418-1	paralogs	19.29260450160772			9.542768763894717
ZFY	ZFY-1	ZNF772	ZNF772-4	paralogs	17.026378896882495			
ZFY	ZFY-1	ZNF548	ZNF548-1	paralogs	17.770419426048566			9.31468735063998
ZFY	ZFY-1	ZNF549	ZNF549-1	paralogs	21.17376294591484			7.93965758351787
E4F1	E4F1-1	ZFY	ZFY-1	paralogs	14.014466546112118			1.9058845845244736
ZFY	ZFY-1	ZNF79	ZNF79-1	paralogs	19.87730061349693			6.7090475802632765
ZFY	ZFY-1	ZNF691	ZNF691-1	paralogs	11.722488038277511			5.577462515383358
MEF2A	MEF2A-1	MEF2C	MEF2C-1	paralogs	60.617760617760624			
RORA	RORA-1	THRB	THRB-2	paralogs	26.278659611992946			0.1034424078832734
RARA	RARA-1	RORA	RORA-1	paralogs	22.491909385113267			1.7633408853744323
RARB	RARB-1	RORA	RORA-1	paralogs	26.24356775300172			2.130019248604756
PPARG	PPARG-1	RORA	RORA-1	paralogs	25.0			0.9594264735510696
RARG	RARG-1	RORA	RORA-1	paralogs	25.762711864406782			0.946157345414718
PPARD	PPARD-1	RORA	RORA-1	paralogs	22.905982905982903			1.7864563728146703
RORA	RORA-1	RORC	RORC-3	paralogs	45.438596491228076			1.0086330113188977
RORA	RORA-1	VDR	VDR-2	paralogs	23.75			0.5378129458618611
RORA	RORA-1	THRA	THRA-2	paralogs	29.05027932960894			1.6229079011675442
TP53	TP53-1	TP63	TP63-1	paralogs	23.272214386459797		0.8888888888888888	
TEAD2	TEAD2-1	TEAD4	TEAD4-2	paralogs	61.853448275862064			
TEAD1	TEAD1-5	TEAD2	TEAD2-1	paralogs	63.774403470715825			
RARB	RARB-1	THRB	THRB-2	paralogs	28.813559322033896	1.0		2.2334616564880294
RARA	RARA-1	RARB	RARB-1	paralogs	69.10569105691057			0.3666783632303233
PPARG	PPARG-1	RARB	RARB-1	paralogs	25.515947467166978	1.0	0.0	1.1705927750536862
RARB	RARB-1	RARG	RARG-1	paralogs	69.53781512605042			1.1838619031900377
PPARD	PPARD-1	RARB	RARB-1	paralogs	23.35216572504708		0.0	3.9164756214194254
RARB	RARB-1	RORC	RORC-3	paralogs	21.603927986906704	1.0		1.1213862372858583
RARB	RARB-1	VDR	VDR-2	paralogs	22.033898305084747	1.0		2.667832194466617
RARB	RARB-1	THRA	THRA-2	paralogs	29.919678714859444	1.0		0.5071113474372115
RFX3	RFX3-2	RFX4	RFX4-1	paralogs	21.679064824654628			5.947529025046849
ZNF264	ZNF264-1	ZNF599	ZNF599-1	paralogs	52.07006369426752			2.1307303060959653
ZNF264	ZNF264-1	ZNF614	ZNF614-1	paralogs	34.40111420612813			
ZNF264	ZNF264-1	ZNF596	ZNF596-1	paralogs	35.41984732824427			2.9630444178352286
ZNF264	ZNF264-1	ZNF669	ZNF669-1	paralogs	30.110935023771788			
ZNF169	ZNF169-3	ZNF264	ZNF264-1	paralogs	36.43178410794602			2.6156045010842885
ZNF124	ZNF124-1	ZNF264	ZNF264-1	paralogs	27.35849056603773			2.633056904603828
ZNF264	ZNF264-1	ZNF778	ZNF778-1	paralogs	35.927367055771725			0.9893894417673456
ZNF19	ZNF19-1	ZNF264	ZNF264-1	paralogs	35.69182389937106			2.8091598366723978
ZNF264	ZNF264-1	ZNF559	ZNF559-1	paralogs	36.89922480620155			
ZNF264	ZNF264-1	ZNF69	ZNF69-2	paralogs	36.89024390243903			0.4314751927621536
ZNF180	ZNF180-2	ZNF264	ZNF264-1	paralogs	33.95225464190981			1.0852589215683772
ZNF177	ZNF177-1	ZNF264	ZNF264-1	paralogs	33.91167192429022			2.5561208688894084
ZNF264	ZNF264-1	ZNF343	ZNF343-4	paralogs	33.14527503526093			3.6732591809751862
ZNF343	ZNF343-4	ZNF614	ZNF614-1	paralogs	35.029940119760475			
ZNF343	ZNF343-4	ZNF596	ZNF596-1	paralogs	31.65354330708661			0.7102147631399567
ZNF343	ZNF343-4	ZNF669	ZNF669-1	paralogs	26.602564102564106			
ZNF169	ZNF169-3	ZNF343	ZNF343-4	paralogs	42.433234421364986			1.0576546798908972
ZNF124	ZNF124-1	ZNF343	ZNF343-4	paralogs	27.378964941569286			1.040202276371358
ZNF343	ZNF343-4	ZNF778	ZNF778-1	paralogs	30.61480552070264			4.662648622742531
ZNF19	ZNF19-1	ZNF343	ZNF343-4	paralogs	32.46329526916802			0.8640993443027877
ZNF343	ZNF343-4	ZNF559	ZNF559-1	paralogs	29.896907216494853			
ZNF343	ZNF343-4	ZNF599	ZNF599-1	paralogs	34.33734939759036			1.5425288748792203
ZNF343	ZNF343-4	ZNF69	ZNF69-2	paralogs	32.831325301204814			3.2417839882130317
ZNF180	ZNF180-2	ZNF343	ZNF343-4	paralogs	35.45706371191136			2.588000259406809
ZNF177	ZNF177-1	ZNF343	ZNF343-4	paralogs	30.880000000000006			1.1171383120857774
TBX22	TBX22-2	TBX5	TBX5-1	paralogs	26.624405705229787			2.3369064093461347
TBX15	TBX15-1	TBX5	TBX5-1	paralogs	28.35595776772247	0.9230769230769231		
TBX5	TBX5-1	TBX6	TBX6-2	paralogs	29.01023890784983	0.6153846153846154		2.3234752357294908
TBX18	TBX18-3	TBX5	TBX5-1	paralogs	23.33785617367707	1.0		3.0759103146540725
ZNF302	ZNF302-3	ZNF747	ZNF747-1	paralogs	21.598272138228946			
ZBTB48	ZBTB48-1	ZNF302	ZNF302-3	paralogs	18.155619596541786			1.6543719527494831
ZNF302	ZNF302-3	ZNF473	ZNF473-1	paralogs	18.90034364261168			7.593505570790515
CTCF	CTCF-1	ZNF302	ZNF302-3	paralogs	14.809960681520314			3.410915820297022
ZBTB24	ZBTB24-1	ZNF302	ZNF302-3	paralogs	18.041958041958047			6.697411072868991
